Year,Country,Population (People)
1990-01-01,Brazil,149648341.0
1991-01-01,Brazil,152153539.0
1992-01-01,Brazil,154597985.0
1993-01-01,Brazil,157011131.0
1994-01-01,Brazil,159432909.0
1995-01-01,Brazil,161890816.0
1996-01-01,Brazil,164392423.0
1997-01-01,Brazil,166925457.0
1998-01-01,Brazil,169472347.0
1999-01-01,Brazil,172006362.0
2000-01-01,Brazil,174504898.0
2001-01-01,Brazil,176968205.0
2002-01-01,Brazil,179393768.0
2003-01-01,Brazil,181752951.0
2004-01-01,Brazil,184010283.0
2005-01-01,Brazil,186142403.0
2006-01-01,Brazil,188134315.0
2007-01-01,Brazil,189996976.0
2008-01-01,Brazil,191765567.0
2009-01-01,Brazil,193490922.0
2010-01-01,Brazil,195210154.0
2011-01-01,Brazil,196935134.0
2012-01-01,Brazil,198656019.0
1990-01-01,India,868890700.0
1991-01-01,India,886348712.0
1992-01-01,India,903749636.0
1993-01-01,India,921107534.0
1994-01-01,India,938452550.0
1995-01-01,India,955804355.0
1996-01-01,India,973147577.0
1997-01-01,India,990460131.0
1998-01-01,India,1007746556.0
1999-01-01,India,1025014711.0
2000-01-01,India,1042261758.0
2001-01-01,India,1059500888.0
2002-01-01,India,1076705723.0
2003-01-01,India,1093786762.0
2004-01-01,India,1110626108.0
2005-01-01,India,1127143548.0
2006-01-01,India,1143289350.0
2007-01-01,India,1159095250.0
2008-01-01,India,1174662334.0
2009-01-01,India,1190138069.0
2010-01-01,India,1205624648.0
2011-01-01,India,1221156319.0
2012-01-01,India,1236686732.0
1990-01-01,United States,249623000.0
1991-01-01,United States,252981000.0
1992-01-01,United States,256514000.0
1993-01-01,United States,259919000.0
1994-01-01,United States,263126000.0
1995-01-01,United States,266278000.0
1996-01-01,United States,269394000.0
1997-01-01,United States,272657000.0
1998-01-01,United States,275854000.0
1999-01-01,United States,279040000.0
2000-01-01,United States,282162411.0
2001-01-01,United States,284968955.0
2002-01-01,United States,287625193.0
2003-01-01,United States,290107933.0
2004-01-01,United States,292805298.0
2005-01-01,United States,295516599.0
2006-01-01,United States,298379912.0
2007-01-01,United States,301231207.0
2008-01-01,United States,304093966.0
2009-01-01,United States,306771529.0
2010-01-01,United States,309326295.0
2011-01-01,United States,311582564.0
2012-01-01,United States,313873685.0
